CONTENT,CLASS
"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",1
For all of the little kidz out there there is Like 7 to 8 Billon people on  earth NOT 7 to 8 MILLON.Get you facts straight before posting comments.﻿,0
"Hey youtubers... I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the music world. I dont have any money to advertise my channel, If you could just visit my channel, comment on my video or subscribe, that would be great.... It will only be few seconds of your life..... Thank u to all the people who just gave me a chance l really appreciate it  ",1
i check back often to help reach 2x10^9 views and I avoid watching Baby﻿,0
The most liked video on YouTube...﻿,0
sexy shakira﻿,0
I lover this song,0
old and good song﻿,0
OMG over 2 billion views!﻿,0
Very nice,0
I remember that torunament like it was today.﻿,0
charlieee :DDDD (Those who saw Lost only will understand)﻿,0
"This song is great there are 2,127,315,950 views wow﻿",0
"coby this USL and past :<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX<br />delete space after y﻿",1
Memories﻿,0
cool cool cool cool cool cool cool﻿,0
The Guy in the yellow suit kinda looks like Jae-suk ﻿,0
XD I WAS GOING CRAZY FUCKIN CRAZY WATCHIN THIS BRAH﻿,0
WOw,0
Whose watching this in 2015. If so hi-5﻿,0
I hate videos like these with those poor animals.﻿,0
I could hear this for years ;3﻿,0
thumbs up if you think this should have 1 billion views﻿,0
i remember this song!,0
You gotta say its funny. well not 2 billion worth funny but still. It  clicked and everything went uphill. At least you don't have JB's shit on  #1.﻿,0
░░░░░░░/\░░░░░▄▐<br />░░░░░░/     \░░░▄██▄<br />░░░░░/  (o)   \░░░░░▀█▄<br />░░░░/             \░░░░░░▀█▄<br />░░░/__   \   ░▄▄▄▄▄▀▀<br />░░░░▄▄▄██▀▀▀▀<br />░░░█▀▄▄▄█░▀▀       YOU HAVE BEEN SPOOKED BY THE SPOOKINATI<br />░░░▌░▄▄▄▐▌▀▀▀<br />▄░▐░░░▄▄░█░▀▀    SHARE THIS TO 666 PEOPLE TO BE UNSPOOKED <br />▀█▌░░░▄░▀█▀░▀ <br />░░░░░░░▄▄▐▌▄▄<br />░░░░░░░▀███▀█░▄<br />░░░░░░▐▌▀▄▀▄▀▐▄<br />░░░░░░▐▀░░░░░░▐▌<br />░░░░░░█░░░░░░░░█<br />░░░░░▐▌░░░░░░░░░█<br />░░░░░█░░░░░░░░░░▐▌﻿,1
gofundme.com/grwmps﻿,1
I think he was drunk during this :) x)﻿,0
looooooooooooooooooooovvvvvvvvveeeeeeeeeeee ittttttttttttt﻿,0
my favorite song﻿,0
 I hate this song! ﻿,0
Subscribe to my channel <br />Tweet &amp; Follow me on twitter //therealterrell_ <br />And I will follow you back 👀﻿,1
I like the music...but is anyone listening to the lyrics?﻿,0
I hav absolutely no idea what he's saying. Is it even a language?﻿,0
god she is so sexy! drives me crazy!,0
Me and my aunt love this song!!!!!﻿,0
I LOVE YOU KATTY PERRY &lt;3 ﻿,0
OOOOO SHUFFLLLLLLLLLLLLLLLLLLLLLLINNNNN﻿,0
I heard this when I was only 6 years old and I still love it﻿,0
Nice love itttttttt wurkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk﻿,0
Love😘❤💖﻿,0
Never gets old best song ever  ❤﻿,0
this is the 2nd most best song when im gone by m&amp;m﻿,0
LOVE THE WAY YOU LIE ..&quot;﻿,0
Will this song ever reach 7 Billion Views?﻿,0
"katy perry does remind me of a tiger,like as if its her spirit animal :3 &lt;3﻿",0
Subscribe to my Youtube Channel!! :) Suscribite a mi canal de Youtube -WhatUKnow,1
OPPA &lt;3﻿,0
this song sucks﻿,0
Check out this video on YouTube:﻿,1
Awesome ﻿,0
Omg it&#39;s going to have 1bi views!﻿,0
What nicei⛺♥♥♥♥﻿,0
Shakira﻿,0
"If you could take time &amp; spare a min to read this, then thank you. <br /><br />Im a rapper, if we&#39;re gonna be honest theres thousands maybe even millions<br /><br />of those in the world but not too many with ambition, dedication &amp; passion.<br /><br />I don&#39;t have money for huge YouTube advertisements or incredible music videos<br /><br />so all im left with is comments to expose my music.<br /><br />If you could take a moment and give me a chance ill make you a believer<br /><br />I would love? nothing more than a loyal following on YouTube. For anyone who <br /><br />Reads this could you press the &quot;THUMBS UP&quot;  others will see it.<br /><br />Doing so will help me push closer to my dream :) Thank You﻿",1
Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0
Lip synch is terrible﻿,0
"So,cool！！﻿",0
shuffle!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0
I love this song &amp;I love shakira&lt;333♡♡♡♡♡♡♡♡♡♡♡《33☆☆☆﻿,0
check out our bands page on youtube killtheclockhd - check out some of our original songs including &quot;your disguise&quot;,1
Hii youtube﻿,0
i turned it on mute as soon is i came on i just wanted to check the  views...﻿,0
"The song is very good ...but the video makes no sense...just a nonsense  video...I mean she is telling her story of being stuck on an island, but  the song doesn't fit in the situation...but nvm...The song is good﻿",0
Beautiful song﻿,0
so cute that monkey *-*! ﻿,0
best song﻿,0
This was such an epic track. And the video is awesome!﻿,0
Great music anyway﻿,0
This song is just really fun ﻿,0
Wow. Comments section on this still active. Not bad. Also 5277478 comments.  (Now 79)﻿,0
Dance :)﻿,0
Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0
Check out this video on YouTube:jjiwajwkajajqjaubkm﻿,1
This song/video is such a trigger but it&#39;s just so good...﻿,0
amazing song﻿,0
"Dear person reading this, You are beautiful and loving Have a great day﻿",0
"2 billion views, only 2 million shares﻿",0
"If I knew Korean, this would be even funnier. At least a bit at the end was  in English, but was spoken quite rapidly.﻿",0
EMINEM the best EVER.﻿,0
beautiful song!﻿,0
like the songs﻿,0
and how many subscribers compared to her over a million,1
www.marketglory.com/strategygame/lordviperas﻿,1
why does the world not shuffle???﻿,0
How stupid humanity is﻿,0
"I'm sorry Katy Perry, I was being weird. I still love you &lt;3﻿",0
http://www.ebay.com/itm/131338190916?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1
Wow this video almost has a billion views! Didn&#39;t know it was so popular ﻿,0
"She named the tiger Kitty Purry  No, seriously, she did, check the video ﻿",0
adf.ly / KlD3Y,1
WELL THIS DUDES FADED THE FUCK OUT!﻿,0
"You exactly who u want to be,watching your favourite rappers on tv﻿",0
Like﻿,0
1000000000 views.﻿,0
BEST SONG EVER X3333333333﻿,0
not 2 million view anymore :))﻿,0
Almost a billion﻿,0
Like﻿,0
"I've figured out why I dislike this song: it's supposed to be a power  ballad right? Something that's uplifting and motivating by the end.  However, the final chorus has NO extra UMPH at the end and actually sounds  just like the first one. Instead of crescendo-ing into a powerful finish,  ""Roar"" just says on the same wavelength. It falls flat.﻿",0
In the beginning she was scared off everything and next thing you know she  is out in a leopard bikini!﻿,0
"Why there are so many dislikes. This song is so... awesome. It sounds like we MUST STOP BE RACISTS!!! If I could, I would like it 1,000,000,000 times!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿",0
goood﻿,0
LMFAO!﻿,0
Lamest World Cup song ever! This time FOR Africa? You mean IN Africa. It wasn&#39;t a Live Aid event or something. She made it seem like a charity case for them instead of a proud moment. Where was Ricky Martin when you needed him! SMH﻿,0
I don&#39;t think this song will ever get old ﻿,0
2 Billion Views For This Piece Of Shit... ~ A R E ~ Y O U ~ K I D D I N G ~ M E ~﻿,0
MEGAN FOX AND EMINEM TOGETHER IN A VIDEO  DOESNT GET BETTER THAN THAT﻿,0
"Getting too 1billion views, holy moly.!!!﻿",0
"The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views? BS!﻿",0
I hate rap and I like this song﻿,0
SUBSCRIBE TO MY CHANNEL﻿,1
"Check out our vids, our songs are awesome! And that I guarantee :)﻿",1
katy perry  just stop it and dont do a song i dont like it﻿,0
CHECK OUT partyman318 FR GOOD TUNEZ!! :D,1
This song is about Rape and Cheating     <br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Basically.....﻿,0
"This video is so cool, again and again!﻿",0
Charlie from LOST﻿,0
"I wanted to know the name of the guy that dances at 00:58, anybody knows ?﻿",0
GREAT!!!﻿,0
Roar is without a doubt your best song...feel good song with a message for  everyone. Good job Katy﻿,0
This is a weird video.﻿,0
Who df is Lauren Bennett..﻿,0
Check out this video on YouTube:opponents mm <br /><br /><br /><br />--•[••••=====++¥¥£££<br />﻿,1
Your going to hear me Roar !!!! :-))))   #soundsofsunday ﻿,0
Justin bieber = gay ﻿,0
"Stop Wasting Up Your Time and  Get Paid To Mess Around On Facebook And Twitter!  GET PAID UPTO $25 to $35 AN HOUR... Only at 4NetJobs.com  Work from the Comfort of your Home... We are Currently Hiring People from all Over the World,  For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube.  You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately!  You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",1
I love this song﻿,0
"Very pleasant to hear, haha, good.﻿",0
PLEASE CHECK OUT MY VIDEO CALLED &quot;WE LOVE MIND MASTER IT&quot; THANKS,1
I'm here to check the views.. holy shit﻿,0
Its almost Katys birthday! October 25th Lets say happy birthday to katy!!! ♥♥♥♥♥♥﻿,0
I like this song<br />﻿,0
hay my is honesty wright i am 12year old  i love your song thank you for makeing this song i love this song so much sometime harts can get breaken  people kill  they self or go cazzy i  love you so much thanks 😱👏keep on go  make  sure you doing your   dream is comeing rule  good luck﻿,0
"I love this song, can&#39;t believe it was 5 years ago, it doesn&#39;t get old though﻿",0
"Hey guys!  Can you please SUBSCRIBE to my channel,because I'm gonna filming a video so  hope you guys like it and thank you so much for you're support! Xoxo,Leah!  &lt;3 ﻿",1
2010:(﻿,0
Gooooood﻿,0
&lt;3﻿,0
this comment is wrong﻿,0
2015 and more....﻿,0
"The first billion viewed this because they thought it was really cool, the  other billion and a half came to see how stupid the first billion were...﻿",0
Eminem - Love the way you lie ♥ ♥ ♥﻿,0
How could 108k people dislike this song or video﻿,0
"870,000,000 views...566,000 comments...oh my lanta﻿",0
I love this song!!!﻿,0
super rihanna﻿,0
katy perry is awesome﻿,0
The best Song i saw ❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😘😘😘😘😘😘😘😘﻿,0
5 milions comentars and 2 bilion views﻿,0
they Shuffle hard that they made an Earthquake in Nepal﻿,0
I LOVE YOUR SONGS﻿,0
that is megan fox﻿,0
"How do you forget you have a choice, and what the fuck, surviving a plane  crash has a 1/1000 chance of happening.﻿",0
Lets party﻿,0
Amazing﻿,0
Love this soooooooooooooooooooooooooooooooooooooooooooooooooo much﻿,0
Hello Brazil 😻✌💓😻👏﻿,0
White people are going extinct for more information subscribe to my channel or search for videos on &quot;white genocide&quot;  thank you﻿,1
"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",1
Feels and emotions in this song...God damn﻿,0
LOVE THIS SONG!!!﻿,0
&quot;HELP THE HUMANITY WITH YOUR SIGN IN TO THIS LINK WITH YOUR WHOLEHEARTED SUPPORT IF YOU SAY &quot;NO&quot; TO DISCRIMINATION. “UNITED WE STAND “  WE WILL BRING THE CHANGE TOGETHER.  IMPOSSIBLE ITSELF SAYS I  M  POSSIBLE&quot;  YOU ARE THE WINNERS OF MY SUCCESS!CHEERS TO ALL MY LOVING BROTHERS AND SISTERS !  PLEASE SHARE THIS LINK ON FACEBOOK TO SUPPORT AGAINST DISCRIMINATION.  tinyurl(dot)com(slash)mxh2y77  FEAR NONE BUT GOD !!!,1
waka waka﻿,0
Cool﻿,0
"She kinda let herself go, huh?﻿",0
i want to smack this year boy in to forever﻿,0
i love this song thumsb up to you﻿,0
"Good thing she brought her spray-on tan, hairstylist, makeup artist, and  cameraman.﻿",0
"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",0
Check out this video on YouTube:﻿,1
I remember this :D,0
Eminem THE BEST !﻿,0
"2,124923004 wiews... wow﻿",0
"check out ""starlitnightsky"" channel to see epic videos﻿",1
"Don't mind me, I'm just checking what the views are up to : )﻿",0
Anybody who subscribes to me will get 10 subscribers﻿,1
music yeah﻿,0
What is he saying?!?!?!?!?!?!?!?$? ﻿,0
"WE GO FOR 1,000,000,000 FOR EMINEM﻿",0
she is sooooo beautiful!,0
I swear Shakira keeps getting more and more gorgeous! She definitely looks more gorgeous with her hair this way than super curly.﻿,0
her voice is so wow!,0
It is a shit﻿,0
https://m.facebook.com/story.php?story_fbid=764484966942313&amp;id=754989901225153&amp;ref=stream  gf﻿,1
Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8. I love this song  and video Katy Perry Rocks Wahoo! 😀😘﻿,0
wow,0
love Shakira!﻿,0
Eminem et Rihana trop belle chanson﻿,0
"should not have paused the music, this is a clip, not a movie.﻿",0
i rekt ur mum last nite. cuz da haterz were 2 much 4 meh lik dis if u cri evertim and sponswer mi robox vidz https://www.indiegogo.com/projects/gimme-dem-moneyz-4-roblox/x/8851222#home﻿,1
"DAMNNNNNNNN, she is sexy O_O﻿",0
Northland Paranormal Society is now on YouTube! Check out our channel of real Paranormal evidence!! facebook/ Northland Paranormal Society!!!,1
I love KATY PERRY &lt;3 &lt;3﻿,0
I'm watching this in 2014﻿,0
shakira is best for worldcup﻿,0
I know it old song but (like) if you watching in 2015﻿,0
Ahhh back when my life didn&#39;t suck...﻿,0
this very good so I dance with some companions front of the whole school﻿,0
Love this song !!!!!!,0
I love You Katy ♥﻿,0
00 : 39 Im pretty sure that tiger just wanted a hug﻿,0
most popular video on youtube  ﻿,0
Is that Charlie from lost?﻿,0
https://www.facebook.com/photo.php?fbid=543627485763966&amp;l=0d878a889c﻿,1
Very good! Like! :D﻿,0
And i´m Shufflin still today :D﻿,0
I &lt;3 Katy Perry!﻿,0
http://hackfbaccountlive.com/?ref=4604617﻿,1
"Stop,is a very TOP 1﻿",0
pleas subscribe on me for ps4 games video <br /><i>______________________________</i><br />if you have som tips so contact me on kik or skype<br /><i>______________________________</i><br />Kik: pander26<br />Skype: sander.nicolaysen2<br /><i>______________________</i><br />pleas subscribe on me and Kashoo Gaming﻿,1
http://www.bubblews.com/news/6401116-vps-solutions﻿,1
Was that Meghan fox??﻿,0
I  love you Eminem﻿,0
ROAAAAARRRRRR 🐯🐯🐯﻿,0
PLEASSSSSSSSSSSSSSSS SUBSCRIBEEEEEEEEEE MY CHANNNNNNELLL PLZZ﻿,1
"This song is special, because is a song for Africa  and I am an African ﻿",0
"Every time I watch this mv I just so so so glad that I live in a world that  don't have to worry about running from a real, human eating tiger.﻿",0
wery good﻿,0
That shake and that golden and black robot were really partying ﻿,0
#1 song in world even in 2015﻿,0
Love this song makes me wanna dance! ﻿,0
C'mon 3 billion views!!!!!!!!﻿,0
Why sooooo many downs?﻿,0
subscribe  my,1
"I hear this all the time on radio and its really irritating. That being  said, i like the video﻿",0
It's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿,0
lets get it to 1 BILLION﻿,0
This video deserves <b>1B</b> views!!!﻿,0
Hey dickwad - we&#39;re all africans. The colour of your skin just tells us something about how long ago your ancestors left Africa.   Check out Baba Brinkman - he has a song called &quot;I&#39;m A African&quot;   Go learn something.,1
Good times. ﻿,0
Let get this video to one billion views﻿,0
I like this song ﻿,0
http://binbox.io/1FIRo#123﻿,1
On 0:02 u can see the camera man on his glasses....﻿,0
Love this song﻿,0
Party Rock....lol...who wants to shuffle!!!﻿,0
i love this song so much!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0
Man she is BEAUTIFUL!﻿,0
NICE GIRL :D﻿,0
Still watching this 2 years later? ﻿,0
Pls follow this channel!! http://www.twitch.tv/sevadus﻿,1
best rap ever﻿,0
Charlie from LOST?﻿,0
"Hey guys! I've made a amazing Smiley T-Shirt.Of all the things you wear,  your expression is the most important and remember all the statistics in  the world can’t measure the warmth of a smile. If you're a big fan of  T-Shirts and want to gets more happiness, it's perfect for you.  Check this  out and buy it at www.teespring.com/smiley12 =)) thanks you guys so  much!!! ﻿",1
This the best song i ever hire<br />﻿,0
Please become my first subscriber.  Thank you.﻿,1
People who believe in Illuminati are stupid the same people believe that  911 was made by the American government﻿,0
I love shakira<br />❤❤❤❤﻿,0
nice ..very nice﻿,0
"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿",1
like this comment if your watching in 2015 or 2016﻿,1
i think about 100 millions of the views come from people who only wanted to  check the views﻿,0
i watched this because of the large amount of views and now i am convinced it is because that girl is so hot,0
sub me if you dont like the song﻿,1
"when i see this back in 2015 i ask myself how people got to like this song. seems like Gangnam style copied this style though, might just be me but yea﻿",0
Check out this video on YouTube:﻿,1
adf.ly /KlD3Y,1
Such a good song ans Katy sounds great over the melody. Im growing as an  artist everyday from my hit song 'CRAZY' which has got my name out there.  cant thank my fans more for their support. If you could take a moment? to  check it and my music? maybe you'll join me to make my dream come true :)  thank you for your time﻿,1
wow!!!!!! increible song!!!!!!!!!﻿,0
Shakira is the best dancer,0
In my opinion I think you look better with black hair then blond hair : )﻿,0
Shakira u are so wiredo,0
"Haha its so funny to see the salt of westerners that top views of youtube  goes to video they dont even understand, keep the salt up!﻿",0
I lovet﻿,0
Please share and help to my Friend! http://www.gofundme.com/jormis  Thank  you very much!﻿,1
Love it,0
